drug,adr,a,n_drug,n_adr,PRR,PRR_lower95,PRR_upper95,chi2_PRR,pvalue_PRR,ROR,ROR_lower95,ROR_upper95,IC,IC_lower95,IC_upper95,IC025,EBGM,EB05,EB95,signal_PRR,signal_ROR,signal_IC,signal_EBGM,n_methods_flagged,signal_ANY_3,signal_ALL_4,signal_strength
Lidocaine,Neonatal Toxicity,4,284,79,137.8018482524238,53.616447182837064,354.17022909087166,352.52219567731265,1.1964686292671727e-78,139.75100046038884,53.60256744183685,364.3546020602762,3.0747575995306775,2.150807897956475,3.99870730110488,1.5191279999414589,48.160006144004626,8.793676545171522,87.52633574283773,True,True,True,True,4,True,True,Strong (4/4)
Ceftriaxone\Ceftriaxone Sodium,Low Birth Weight Baby,32,462,4783,9.725122934151662,6.97266199297917,13.564118865878479,237.7382056110927,1.2242981712049307e-53,10.372526775883355,7.253413496502909,14.832921322945293,3.074506657080807,2.730708403633751,3.4183049105278633,2.495662658930151,9.404283595935787,6.671673914911137,12.136893276960437,True,True,True,True,4,True,True,Strong (4/4)
Phthalylsulfathiazole,Blister,16,1285,747,11.524122441459541,7.096418635279848,18.714425525223284,135.57893277853938,2.466644350933743e-31,11.656377059229404,7.133671793133601,19.04645042370888,3.0745005094983715,2.5919879142488673,3.5570131047478757,2.2621068542313494,10.638325036072313,6.270133839782571,15.006516232362056,True,True,True,True,4,True,True,Strong (4/4)
Docusate,Livedo Reticularis,4,149,151,134.25800124709482,53.28341384414968,338.2893399358271,351.48200068478576,2.015648881726815e-78,137.9181198672025,53.236547566049474,357.2997998058488,3.0744990170920214,2.150549315517819,3.998448718666224,1.5188694175028028,48.10524083282944,8.783676786638871,87.42680487902001,True,True,True,True,4,True,True,Strong (4/4)
Tipranavir,Sepsis Neonatal,15,431,2046,11.62809989479145,7.118399066941136,18.994819746928215,129.7241422585531,4.708737080491628e-30,12.009673276152697,7.219789779129217,19.97734790241112,3.074444075948944,2.5766094413156235,3.572278710582265,2.2362531094744758,10.82687649942032,6.235944762976355,15.417808235864285,True,True,True,True,4,True,True,Strong (4/4)
Golimumab,Hand Deformity,18,2037,548,11.227976616573091,7.077245463075932,17.81306859569067,147.8124342375952,5.2135347058285025e-34,11.318900615324806,7.105379501758495,18.03105817330275,3.074352496522758,2.618668158187301,3.5300368348582154,2.3071288656518356,10.33590734598672,6.333918197545704,14.337896494427739,True,True,True,True,4,True,True,Strong (4/4)
Digoxin,Kidney Duplex,8,647,518,16.905009472884107,8.620617644355766,33.150680968365585,96.12474062138656,1.0786836887766005e-22,17.103208692515807,8.645137010027655,33.836334489603715,3.074105317161567,2.401835205281945,3.7463754290411893,1.9422219655275093,14.39294685347176,6.0481131999096185,22.7377805070339,True,True,True,True,4,True,True,Strong (4/4)
Ondansetron Hydrochloride,Pollakiuria,8,19719,17,28.963143615523506,11.481655724848064,73.06121244151318,98.8953425955534,2.662047133844043e-23,28.974489911713306,11.483660661786294,73.1057012540971,3.0739380694509086,2.4016679575712865,3.746208181330531,1.9420547178168508,14.389936312480392,6.046848129393199,22.733024495567584,True,True,True,True,4,True,True,Strong (4/4)
Escitalopram Oxalate,Trisomy 21,8,2817,119,17.728672892436364,8.83514036476292,35.5745160292586,96.35923366845996,9.581995857312622e-23,17.77614308276611,8.841396264067008,35.73997290260789,3.0739380694509086,2.4016679575712865,3.746208181330531,1.9420547178168508,14.389936312480392,6.046848129393199,22.733024495567584,True,True,True,True,4,True,True,Strong (4/4)
Sarilumab,Hand Deformity,10,897,548,14.276967124711945,7.779009296175537,26.20279556425229,102.79099526438732,3.7243854931663514e-24,14.426014359135314,7.804942262009927,26.66386032129158,3.073868879871212,2.469004573752198,3.6787331859902257,2.055474895078995,12.609963419412594,6.066665443551198,19.15326139527399,True,True,True,True,4,True,True,Strong (4/4)
Ketanserin,Hyperbilirubinaemia,4,24,945,128.37175805000706,55.572855683138116,296.53520702283595,348.9765672600553,7.0795801413589e-78,153.20051034286232,55.11445106365407,425.848319566977,3.073756363395524,2.149806661821321,3.9977060649697265,1.5181267638063052,47.94858993388207,8.755073440290992,87.14210642747315,True,True,True,True,4,True,True,Strong (4/4)
Lacosamide,Disease Recurrence,4,361,63,137.59674326162,53.071276405570345,356.74408151632406,347.7022521943343,1.3412551033301657e-77,139.12380560615856,53.064867561834674,364.75043047617095,3.073497960335793,2.14954825876159,3.9974476619099955,1.5178683607465742,47.894304121627094,8.745161234870281,87.04344700838391,True,True,True,True,4,True,True,Strong (4/4)
Indomethacin,Ileal Perforation,5,1803,56,38.86037397616824,16.150456588194324,93.50377540852489,123.47982049894341,1.0949420133823863e-28,38.965381075383746,16.15475098706896,93.98479268205341,3.0733156518252502,2.237572336313306,3.9090589673371943,1.6661968042796307,24.8236355283651,6.652352227241831,42.99491882948837,True,True,True,True,4,True,True,Strong (4/4)
Quetiapine Fumarate,Nasal Flaring,5,2525,40,40.213933372557655,16.39385469679732,98.64430710176006,123.57088678341975,1.0458243123985823e-28,40.29155572195322,16.397569391618948,99.00305488720859,3.0732082907204132,2.2374649752084697,3.908951606232357,1.6660894431747937,24.81770317955229,6.6507624490728645,42.984643910031714,True,True,True,True,4,True,True,Strong (4/4)
Levetiracetam,Joint Laxity,6,3381,53,26.49308077231375,11.680149466818841,60.091981768064024,100.88573271850804,9.744591924577768e-24,26.53826723526339,11.683768344245548,60.27846556861288,3.0731894517351375,2.3044179988536233,3.8419609046166516,1.7788293524958536,18.770801360707793,6.217122090151056,31.324480631264528,True,True,True,True,4,True,True,Strong (4/4)
Quetiapine Fumarate,Bundle Branch Block Right,6,2525,71,25.75812665015317,11.515333634891633,57.61718327595596,100.70586295466273,1.0670924457099254e-23,25.816907510729287,11.519741475549436,57.85830479201455,3.0729566944330347,2.3041852415515205,3.841728147314549,1.7785965951937508,18.763547030198772,6.2147193659630915,31.312374694434453,True,True,True,True,4,True,True,Strong (4/4)
Abacavir Sulfate\Lamivudine\Zidovudine,Torticollis,4,167,137,132.39312426630892,52.387627941914275,334.58165680699875,345.5311248272738,3.983989016306661e-77,135.60467992990414,52.34838116216107,351.27407592469297,3.0729402956056235,2.148990594031421,3.996889997179826,1.517310696016405,47.77753377015677,8.723839794465455,86.83122774584808,True,True,True,True,4,True,True,Strong (4/4)
Eletriptan Hydrobromide,Seizure,4,26,881,127.33904208998547,54.72954456447457,296.279308907689,345.43234491515403,4.186293275613151e-77,149.77720797720798,54.31747478321504,413.00174794539697,3.0728296083959137,2.148879906821711,3.9967793099701163,1.517200008806695,47.75441912970246,8.719619224579993,86.78921903482492,True,True,True,True,4,True,True,Strong (4/4)
Fluorouracil,Pyelocaliectasis,8,535,628,16.81990969903943,8.59365785072021,32.92071515974201,95.85107479770207,1.2385875559757232e-22,17.05889761734727,8.623109307873653,33.747222437899794,3.0722948604244564,2.4000247485448343,3.7445649723040786,1.9404115087903986,14.360406091370557,6.034439126434384,22.686373056306728,True,True,True,True,4,True,True,Strong (4/4)
Acetazolamide,Grunting,4,135,171,130.44532687117916,51.93226350516853,327.65726263472556,342.38693367418216,1.927721024977663e-76,134.3791271777992,51.87863688614376,348.07679817605543,3.072096007887183,2.1481463063129804,3.9960457094613857,1.5164664082979644,47.60174146014735,8.691741361821357,86.51174155847335,True,True,True,True,4,True,True,Strong (4/4)
Buprenorphine\Buprenorphine Hydrochloride,Placental Hypertrophy,4,5773,4,1016.800467653936,54.7477113000306,18884.500675385952,345.15195614125264,4.8182643407999725e-77,1017.5054164139007,54.77307820755997,18901.93697911845,3.072067327176882,2.1481176256026795,3.9960170287510848,1.5164377275876635,47.595790658011055,8.690654787434,86.50092652858811,True,True,True,True,4,True,True,Strong (4/4)
Pancrelipase Amylase\Pancrelipase Lipase\Pancrelipase Protease,Transient Tachypnoea Of The Newborn,4,64,361,128.40848918523338,52.35626134181015,314.9334897537228,342.16156831455595,2.1583596033486594e-76,136.8240305149396,52.216590671880375,358.5223601439501,3.0720181615714197,2.148068459997217,3.9959678631456224,1.516388561982201,47.58559274369939,8.688792720398041,86.48239276700073,True,True,True,True,4,True,True,Strong (4/4)
Nifedipine,Bone Density Decreased,4,1284,18,158.6797089971947,55.182935991452666,456.28688642689167,342.4974821836587,1.8237662877102627e-76,159.17199639149578,55.197281933839214,459.0031165958923,3.071985385431928,2.1480356838577253,3.9959350870061305,1.5163557858427092,47.578796561604584,8.687551785608626,86.47004133760055,True,True,True,True,4,True,True,Strong (4/4)
Ustekinumab,Leukoencephalopathy,4,1651,14,170.33852342026728,56.51517656375265,513.4056783537776,342.6566402170075,1.683868418666724e-76,170.7494905701279,56.53188083104807,515.7335666416682,3.071977191513402,2.1480274899391993,3.9959268930876046,1.5163475919241833,47.57709781939249,8.687241607293792,86.46695403149118,True,True,True,True,4,True,True,Strong (4/4)
Asparaginase,Cognitive Disorder,8,358,939,16.740552834280727,8.5890189833946,32.628418884525985,95.81114370413026,1.2638232008617207e-22,17.098410138725217,8.632894688491835,33.86530704026643,3.0719000745603404,2.3996299626807183,3.7441701864399626,1.9400167229262826,14.353324418902387,6.031463310767981,22.675185527036795,True,True,True,True,4,True,True,Strong (4/4)
Bupropion Hydrochloride,Poor Feeding Infant,41,854,3418,9.450089329837812,7.010106920749633,12.739347537992284,295.1259793099238,3.799136575695683e-66,9.87536260103718,7.215999155329048,13.514800154867372,3.0717582435539112,2.7675168314335945,3.375999655674228,2.5595150496778674,9.15111821318962,6.8015747291348525,11.500661697244386,True,True,True,True,4,True,True,Strong (4/4)
Methotrexate,Gamma-Glutamyltransferase Increased,6,1486,121,24.85672204239308,11.298360955472393,54.68550997156182,100.22623512073517,1.359467707874575e-23,24.95308710202327,11.304966338618051,55.07814329301889,3.0714503572231613,2.302678904341647,3.8402218101046754,1.7770902579838774,18.71670619650837,6.199205101214254,31.234207291802484,True,True,True,True,4,True,True,Strong (4/4)
Ondansetron Hydrochloride,Short Stature,10,19719,25,21.92845218708516,10.019323233377474,47.992963608499615,105.38150829232517,1.0074567158127843e-24,21.93906246291906,10.021601089150943,48.02849938548521,3.0713762359501016,2.466511929831088,3.6762405420691153,2.052982251157885,12.575937361838072,6.050295474757339,19.101579248918803,True,True,True,True,4,True,True,Strong (4/4)
Ondansetron Hydrochloride,Heart Disease Congenital,279,19719,1093,11.108133764506379,9.704087666530437,12.715325744195717,1903.9981169580446,0.0,11.25318357793465,9.816182443264248,12.900548799965815,3.0713080051694703,2.9540957789367344,3.1885202314022063,2.8739608895735373,8.506940301572294,7.669221478387266,9.344659124757323,True,True,True,True,4,True,True,Strong (4/4)
Fluorouracil,Cerebral Haemorrhage,8,535,629,16.792846288421508,8.579894202526864,32.867501604332176,95.67657190389679,1.3527182895228785e-22,17.031423745486574,8.60928438363956,33.69262552757,3.071134671346339,2.398864559466717,3.7434047832259614,1.9392513197122814,14.339608979000726,6.025699895259256,22.653518062742194,True,True,True,True,4,True,True,Strong (4/4)
Ceftriaxone\Ceftriaxone Sodium,Intraventricular Haemorrhage,5,462,220,36.28757007587634,15.64350044664033,84.17475017839985,122.38627114334713,1.9000007361421201e-28,36.672161576204786,15.653955633820773,85.91102888816764,3.0710627447134993,2.2353194292015557,3.906806060225443,1.6639438971678797,24.699648809855624,6.6191256951296396,42.78017192458161,True,True,True,True,4,True,True,Strong (4/4)
